Date,JulianHatchDay,Location,Nest ID,Host species,Treatment,BroodSize,Dead,Alive,Blowflies,Mites,#Flea,SpeciesRichness,BoxOrientation,AgeAtFledging,NumberDaysTreatmentExposure,NestTemperature_C,Avg_NestlingTemp_C,HSF3_GAPDH ,HSF3log_GAPDH ,HSF3_PPIA,HSF3log_PPIA,HSP70_GAPDH ,HSP70log _GAPDH ,HSP70_PPIA,HSP70log_PPIA,IL-1B_GAPDH ,IL-1Blog_GAPDH ,IL-1B_PPIA,IL-1Blog_PPIA,IL-6_GAPDH ,IL-6log_GAPDH ,IL-6_PPIA,IL-6log_PPIA
14-Jun-22,153,Storrs,6,EABL,Heat,5,5,0,0,0,0,0,NE,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Sep-22,207,Storrs,15,EABL,Control,2,1,1,0,0,0,0,NE,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31-Aug-22,171,Storrs,19,EABL,Control,4,0,4,0,0,0,0,E,NA,9,NA,NA,4.570,0.660,4.627,0.665,5.174,0.714,0.714,0.719,1.307,0.116,1.323,0.122,7.412,0.870,7.505,0.875
14-Jun-22,150,Storrs,21,EABL,Control,5,0,5,0,0,0,0,N,18,10,NA,NA,2.252,0.353,1.161,0.065,4.156,0.619,0.619,0.331,2.309,0.363,1.190,0.076,3.008,0.478,1.551,0.190
14-Jun-22,156,Storrs,26,EABL,Control,3,0,3,13,0,0,1,N,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-Jul-22,181,Storrs,31,EABL,Control,5,0,5,29,0,0,1,W,16,10,21.6,NA,0.126,-0.900,0.100,-0.998,0.209,-0.680,-0.680,-0.778,2.249,0.352,1.794,0.254,0.144,-0.841,0.115,-0.939
9-Sep-22,211,Storrs,32,EABL,Control,4,0,4,0,1,12,2,NW,NA,10,NA,NA,0.097,-1.013,0.107,-0.972,0.087,-1.063,-1.063,-1.022,0.083,-1.081,0.091,-1.040,0.037,-1.436,0.040,-1.396
7-Sep-22,196,Storrs,33,EABL,Heat,4,0,4,0,0,0,0,SW,NA,9,25.38,34.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-Sep-22,196,Storrs,34,EABL,Heat,4,0,4,0,1,0,1,NW,NA,9,25.27,33.8,0.073,-1.135,0.090,-1.047,0.169,-0.773,-0.773,-0.686,0.028,-1.555,0.034,-1.468,0.283,-0.548,0.346,-0.461
6-Jul-22,167,Storrs,41,EABL,Heat,4,0,4,9,0,0,1,E,16,10,NA,NA,0.705,-0.152,0.348,-0.459,3.238,0.510,0.510,0.203,13.624,1.134,6.721,0.827,0.531,-0.275,0.262,-0.582
21-Jul-22,182,Storrs,46,EABL,Control,3,0,3,0,0,0,0,N,NA,9,20.1,35.15,2.758,0.441,8.252,0.917,1.579,0.198,0.198,0.674,0.242,-0.617,0.723,-0.141,1.676,0.224,5.015,0.700
9-Sep-22,211,Storrs,49,EABL,Heat,4,0,4,0,0,0,0,NE,NA,10,NA,NA,0.018,-1.746,0.031,-1.512,0.063,-1.203,-1.203,-0.969,0.047,-1.327,0.081,-1.093,0.083,-1.081,0.142,-0.847
14-Jun-22,145,Storrs,50,EABL,Heat,4,0,4,0,0,0,0,E,15,10,NA,NA,0.202,-0.695,0.952,-0.021,2.043,0.310,0.310,0.984,0.178,-0.749,0.841,-0.075,1.671,0.223,7.884,0.897
21-Jul-22,185,Storrs,55,EABL,Control,4,0,4,0,0,0,0,W,NA,9,21.94,NA,1.549,0.190,0.926,-0.033,1.490,0.173,0.173,-0.050,0.485,-0.314,0.290,-0.537,1.209,0.083,0.723,-0.141
31-Aug-22,181,Storrs,57,EABL,Control,5,0,5,0,0,0,0,W,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
