,Date,JulianDate,Location,Specific_location,Bird.Sp.,State,Nest.ID,Parasitized,Parasitized_MitesRemoved,Blowflies,Year,Treatment,Brood Size,Age,Band..,BillLength,Tarsus,X1stPrim,Mass,Hemoglobin,Glucose,Sex,NumberDaysTreatmentExposure,NestTemperature_F,NestTemperature_C,NestlingTemperature_F,NestlingTemperature_C,scaledmass,HSF3_GAPDH ,HSF3log_GAPDH ,HSF3_PPIA,HSF3log_PPIA,HSP70_GAPDH,HSP70log _GAPDH ,HSP70_PPIA,HSP70log_PPIA,IL-1B_GAPDH ,IL-1Blog_GAPDH ,IL-1B_PPIA,IL-1Blog_PPIA,IL-6_GAPDH ,IL-6log_GAPDH ,IL-6_PPIA,IL-6log_PPIA
1,25-May-22,145,Storrs,Spring Valley Area,EABL,CT,50,No,No,No,22,Heat,4,10,2831-65401,6,20.5,18.3,25.74,10,194,F,10,NA,NA,NA,NA,23.15062028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,25-May-22,145,Storrs,Spring Valley Area,EABL,CT,50,No,No,No,22,Heat,4,10,2831-65402,6.3,19.9,16,25.44,NA,NA,M,10,NA,NA,NA,NA,23.89483836,0.202,-0.695,0.952,-0.021,1.60,0.21,0.31,0.984,0.178,-0.749,0.841,-0.075,1.30,0.11,7.884,0.897
3,25-May-22,145,Storrs,Spring Valley Area,EABL,CT,50,No,No,No,22,Heat,4,10,2831-65403,5.7,17.5,19.1,26,NA,NA,F,10,NA,NA,NA,NA,29.46053075,NA,NA,NA,NA,0.02,-1.60,NA,NA,NA,NA,NA,NA,0.80,-0.10,NA,NA
4,25-May-22,145,Storrs,Spring Valley Area,EABL,CT,50,No,No,No,22,Heat,4,10,2831-65404,6.9,20.5,17.5,25.94,NA,NA,M,10,NA,NA,NA,NA,23.33050078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,26-May-22,146,Hartford,Westmoor Park,EABL,CT,369,Yes,Yes,No,22,Heat,3,10,2831-65405,6.2,18.1,19,26.2,NA,NA,M,10,NA,NA,NA,NA,28.26154429,3.134,0.496,3.721,0.571,4.99,0.70,0.803,0.878,0.707,-0.151,0.839,-0.076,0.22,-0.65,0.639,-0.195
6,26-May-22,146,Hartford,Westmoor Park,EABL,CT,369,Yes,Yes,No,22,Heat,3,10,2831-65406,6.4,21.3,19,25,NA,NA,NA,10,NA,NA,NA,NA,21.26294456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,26-May-22,146,Hartford,Westmoor Park,EABL,CT,369,Yes,Yes,No,22,Heat,3,10,2831-65407,6.9,20.3,21.2,25.16,12.3,NA,F,10,NA,NA,NA,NA,22.95516437,NA,NA,NA,NA,2.53,0.40,NA,NA,NA,NA,NA,NA,1.38,0.14,NA,NA
43,30-May-22,150,Storrs,Horsebarn Hill,EABL,CT,21,No,No,No,22,No Heat,5,10,2831-65408,6,20,21.3,26.47,NA,NA,M,10,NA,NA,NA,NA,24.68101454,2.252,0.353,1.161,0.065,3.26,0.51,0.619,0.331,2.309,0.363,1.19,0.076,1.48,0.17,1.551,0.19
44,30-May-22,150,Storrs,Horsebarn Hill,EABL,CT,21,No,No,No,22,No Heat,5,10,2831-65409,6.4,19.2,19,27.5,10.4,265,F,10,NA,NA,NA,NA,27.21589843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,30-May-22,150,Storrs,Horsebarn Hill,EABL,CT,21,No,No,No,22,No Heat,5,10,2831-65411,6.6,19.9,23.7,25.86,NA,NA,M,10,NA,NA,NA,NA,24.28932861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,30-May-22,150,Storrs,Horsebarn Hill,EABL,CT,21,No,No,No,22,No Heat,5,10,2831-65412,6,17.2,20.1,26.03,NA,234,M,10,NA,NA,NA,NA,30.24851779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,30-May-22,150,Storrs,Horsebarn Hill,EABL,CT,21,No,No,No,22,No Heat,5,10,2831-65413,6.5,19,21.8,27.95,11.4,237,F,10,NA,NA,NA,NA,28.08733532,NA,NA,NA,NA,1.24,0.09,NA,NA,NA,NA,NA,NA,3.27,0.51,NA,NA
8,2-Jun-22,153,Storrs,Horsebarn Hill,EABL,CT,6,No,No,No,22,Heat,5,10,2831-65414,5.75,18.05,10.25,21.16,NA,NA,NA,10,NA,NA,NA,NA,22.91733168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2-Jun-22,153,Storrs,Horsebarn Hill,EABL,CT,6,No,No,No,22,Heat,5,10,2831-65415,4.95,17.2,10.5,18.5,NA,NA,NA,10,NA,NA,NA,NA,21.49817822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2-Jun-22,153,Storrs,Horsebarn Hill,EABL,CT,6,No,No,No,22,Heat,5,10,2831-65416,6.2,18.3,13.4,20.95,NA,NA,NA,10,NA,NA,NA,NA,22.23881202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2-Jun-22,153,Storrs,Horsebarn Hill,EABL,CT,6,No,No,No,22,Heat,5,10,2831-65417,5.25,18.45,7.2,20.46,NA,NA,NA,10,NA,NA,NA,NA,21.4613824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2-Jun-22,153,Storrs,Horsebarn Hill,EABL,CT,6,No,No,No,22,Heat,5,10,2831-65418,5.4,18.15,10.65,23.1,NA,NA,NA,10,NA,NA,NA,NA,24.81747692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
